data size,thrift_total,bifrost_total
0,83079,-999881259
100,46469,-999893809
200,41349,-999908093
300,42198,-999893388
400,38397,-999872805
500,44148391,-999883472
600,44149434,-999883697
700,44065258,-999878725
800,44028090,-999878471
900,43981793,-999875329
1000,44099677,-999907381
1100,44023760,-999909163
1200,44002188,-999905473
1300,44024050,-999909611
1400,44140858,-999910025
1500,44106052,-999903210
1600,44101727,-999909441
1700,43984089,-999905741
1800,44100867,-999906842
1900,44014691,-999903918
2000,44103260,-999876540
2100,44143888,-999888091
2200,44183426,-999894833
2300,44101932,-999896536
2400,44055096,-999907355
2500,44102783,-999898738
2600,44103870,-999908124
2700,44062698,-999897787
2800,44100625,-999891967
2900,44093882,-999890209
3000,44139611,-999856650
3100,44172648,-999907533
3200,44101552,-999900726
3300,43998433,-999899061
3400,44017202,-999898271
3500,44095234,-999893985
3600,44128932,-999880708
3700,44018877,-999903611
3800,44014427,-999890328
3900,44052560,-999883528
4000,44138950,-999888714
4100,43966491,-999864051
4200,44133603,-999831918
4300,44130671,-999884152
4400,44090588,-999874377
4500,43977829,-999855308
4600,44126399,-999880031
4700,44010040,-999872487
4800,43966337,-999858605
4900,44049122,-999870038
5000,44012654,-999890841
5100,44129883,-999871425
5200,44048252,-999883367
5300,44051781,-999871890
5400,44009353,-999861400
5500,43970519,-999886352
5600,44281883,-999865105
5700,44128417,-999854769
5800,44121850,-999829371
5900,44049400,-999877582
6000,44008546,-999888952
6100,43962415,-999888269
6200,44046723,-999887749
6300,43999369,-999869398
6400,44007855,-999884351
6500,44041484,-999878717
6600,43998171,-999878849
6700,44044136,-999855901
6800,44116987,-999873779
6900,43986351,-999883390
7000,43997412,-999885961
7100,43993958,-999889909
7200,44045085,-999882017
7300,44038830,-999878011
7400,44004939,-999863943
7500,44059010,-999869813
7600,44084643,-999853401
7700,43997229,-999887092
7800,44036119,-999873960
7900,44079094,-999852526
8000,43992698,-999860166
8100,44123826,-999888641
8200,44031459,-999837570
8300,43954930,-999838223
8400,44038688,-999854851
8500,44025126,-999854344
8600,44038863,-999854164
8700,44033217,-999848943
8800,44074102,-999846393
8900,43956393,-999861744
9000,151031,-999824038
9100,86769,-999844064
9200,78950,-999865596
9300,75337,-999850819
9400,75606,-999839665
9500,75316,-999847266
9600,78556,-999855338
9700,75851,-999838005
9800,72800,-999849675
9900,72874,-999849125
10000,77104,-999868339
10100,74842,-999868715
10200,73686,-999853679
10300,73409,-999864992
10400,78568,-999855157
10500,76239,-999838503
10600,536574,-999850595
10700,82538,-999862867
10800,78250,-999864079
10900,81844,-999868000
11000,80405,-999817796
11100,83696,-999852729
11200,78936,-999802031
11300,76816,-999847200
11400,494893,-999861178
11500,67228,-999845518
11600,477269,-999834980
11700,64359,-999847203
11800,71654,-999850739
11900,72999,-999838149
12000,573175,-999844547
12100,82871,-999854867
12200,73952,-999860904
12300,511684,-999815719
12400,69041,-999831812
12500,75626,-999840162
12600,68699,-999830732
12700,66708,-999834611
12800,65853,-999836485
12900,68483,-999818171
13000,65557,-999818002
13100,67766,-999820248
13200,72588,-999819354
13300,550390,-999809136
13400,92769,-999821312
13500,80711,-999845246
13600,76981,-999811522
13700,79219,-999826960
13800,79320,-999809293
13900,78178,-999797938
14000,78172,-999838783
14100,565148,-999842675
14200,100982,-999809769
14300,79266,-999805055
14400,80880,-999790813
14500,86357,-999817304
14600,79011,-999828523
14700,79587,-999821831
14800,78845,-999787930
14900,574288,-999829555
15000,101193,-999831804
15100,82785,-999833025
15200,81477,-999818860
15300,80707,-999792048
15400,80421,-999808623
15500,80476,-999805101
15600,78704,-999779280
15700,82068,-999832920
15800,72859,-999792221
15900,541726,-999786763
16000,88122,-999811480
16100,86932,-999819446
16200,80622,-999827901
16300,84328,-999837985
16400,90570,-999814133
16500,570552,-999776179
16600,576788,-999776401
16700,84195,-999759625
16800,75803,-999815728
16900,72094,-999812679
17000,71578,-999790989
17100,72583,-999779449
17200,72061,-999757829
17300,74670,-999818127
17400,72258,-999729119
17500,526357,-999784736
17600,88946,-999761438
17700,84510,-999803755
17800,91993,-999793219
17900,84344,-999751887
18000,84211,-999805574
18100,83118,-999775794
18200,88798,-999793285
18300,541058,-999781985
18400,73409,-999769069
18500,80789,-999796970
18600,84496,-999809798
18700,568968,-999809712
18800,90928,-999827294
18900,1425713,-999821466
19000,175087,-999796176
19100,101127,-999796816
19200,566145,-999784283
19300,123619,-999824303
19400,91346,-999786046
19500,95236,-999787799
19600,90359,-999781288
19700,85710,-999771306
19800,86583,-999799229
19900,575014,-999761318
20000,87052,-999795257
20100,85880,-999777083
20200,88853,-999788258
20300,92639,-999786955
20400,563510,-999755231
20500,89103,-999782286
20600,90229,-999743197
20700,616740,-999772636
20800,97506,-999750899
20900,86235,-999757751
21000,79117,-999801686
21100,79084,-999761830
21200,78745,-999778842
21300,78410,-999720875
21400,78434,-999776576
21500,78479,-999776636
21600,79748,-999788821
21700,81193,-999740197
21800,87373,-999767240
21900,571390,-999756398
22000,545362,-999761650
22100,90366,-999759505
22200,83265,-999749400
22300,83697,-999757706
22400,85975,-999787537
22500,78623,-999763770
22600,90931,-999737300
22700,90078,-999772904
22800,103825,-999726949
22900,101175,-999782031
23000,91970,-999728310
23100,92889,-999783248
23200,1053181,-999801235
23300,116612,-999796949
23400,91446,-999783000
23500,89919,-999728105
23600,89021,-999772960
23700,90171,-999797906
23800,89844,-999793305
23900,90418,-999742859
24000,92293,-999772089
24100,90677,-999755695
24200,547600,-999758375
24300,128467,-999767810
24400,94392,-999743323
24500,90976,-999749536
24600,1007620,-999734827
24700,90302,-999748080
24800,90920,-999738706
24900,91554,-999748504
25000,95039,-999751564
25100,94737,-999747835
25200,91004,-999749284
25300,91126,-999780717
25400,95950,-999775525
25500,103325,-999758386
25600,92910,-999736408
25700,93542,-999749612
25800,96764,-999764514
25900,524924,-999724424
26000,86888,-999740198
26100,85953,-999758654
26200,496216,-999661352
26300,85728,-999759902
26400,585140,-999717998
26500,121626,-999691310
26600,104425,-999755352
26700,94382,-999766713
26800,90775,-999749305
26900,574202,-999736867
27000,105384,-999756754
27100,564193,-999768261
27200,122186,-999733042
27300,106862,-999760214
27400,108277,-999776748
27500,95422,-999758818
27600,95647,-999746858
27700,95820,-999757888
27800,95537,-999772618
27900,98466,-999759161
28000,601747,-999755506
28100,102093,-999738458
28200,100105,-999763707
28300,518284,-999717690
28400,169916,-999765469
28500,102529,-999743615
28600,97797,-999764721
28700,88248,-999715624
28800,93280,-999738857
28900,98013,-999702939
29000,97841,-999709337
29100,100283,-999672022
29200,108830,-999730363
29300,97612,-999746106
29400,97916,-999752107
29500,101696,-999744688
29600,563044,-999700355
29700,120161,-999737336
29800,116971,-999738813
29900,526679,-999716649
30000,96607,-999718854
30100,88925,-999742617
30200,91284,-999706502
30300,540554,-999704048
30400,141621,-999707940
30500,113813,-999719981
30600,112446,-999723101
30700,977768,-999716343
30800,1010524,-999735632
30900,101416,-999723837
31000,100755,-999725855
31100,100455,-999733718
31200,102183,-999750564
31300,618598,-999750247
31400,121004,-999746741
31500,118466,-999708319
31600,111795,-999727999
31700,111829,-999750191
31800,585951,-999722819
31900,104065,-999714974
32000,102114,-999708403
32100,101859,-999728333
32200,103352,-999714130
32300,641154,-999717785
32400,105407,-999697605
32500,104509,-999715162
32600,102691,-999684602
32700,113701,-999699875
32800,3587487,-999717007
32900,1850196,-999725360
33000,1945994,-999721234
33100,141647,-999644146
33200,117736,-999713424
33300,110793,-999722421
33400,112854,-999708979
33500,1040056,-999711717
33600,616649,-999650131
33700,1852140,-999709622
33800,520403,-999705478
33900,978255,-999709440
34000,1910149,-999720854
34100,133398,-999662880
34200,128586,-999699020
34300,3369580,-999684738
34400,2712258,-999718661
34500,3679781,-999706962
34600,1519110,-999733698
34700,3637866,-999715841
34800,4064558,-999706338
34900,119099,-999720929
35000,120136,-999721252
35100,535729,-999696965
35200,3358365,-999728046
35300,3184142,-999723561
35400,2830946,-999700079
35500,2016934,-999709412
35600,1994692,-999710510
35700,4497194,-999691084
35800,2519937,-999690509
35900,1535517,-999666020
36000,1094693,-999660380
36100,610354,-999716426
36200,114768,-999680520
36300,109227,-999726111
36400,1014883,-999720461
36500,134099,-999726442
36600,122571,-999699071
36700,1421860,-999727798
36800,1522609,-999673017
36900,135821,-999679813
37000,133181,-999680009
37100,1428926,-999665410
37200,137130,-999658912
37300,563840,-999709878
37400,706190,-999692316
37500,1466464,-999664928
37600,117251,-999692195
37700,118048,-999649836
37800,112238,-999670621
37900,1847193,-999705171
38000,1491251,-999672038
38100,1028740,-999696368
38200,128461,-999670507
38300,129422,-999698600
38400,126875,-999686716
38500,2387258,-999683570
38600,599441,-999683190
38700,135857,-999685248
38800,590071,-999682175
38900,168374,-999676949
39000,113168,-999654796
39100,118355,-999635288
39200,114831,-999688579
39300,117112,-999675876
39400,564833,-999697031
39500,617017,-999696299
39600,2299582,-999684380
39700,239797,-999670449
39800,134517,-999668366
39900,129041,-999628997
