data size,client marshalling,c to s network,server unmarshalling,server comp,server marshalling,s to c network,client unmarshalling
1,2197,34148,2279,44286,5115,14964,138
2,2282,31289,2119,39283,4192,14388,118
4,1882,29951,2075,44561,4914,13861,110
8,2361,37399,2561,47688,5512,17271,142
16,2495,42015,2923,54551,6176,20002,183
32,2435,42266,2972,53827,6960,20090,179
64,2797,43603,3067,55993,6911,20675,184
128,2594,41845,2916,53007,7058,19037,147
256,2524,39619,2719,53027,6664,18427,155
512,2600,40355,2764,53963,6783,18968,158
1024,2499,46778,2746,53325,6614,18638,153
2048,2618,40542,2763,54641,6701,19030,160
4096,2675,41763,2817,56031,6848,19259,160
8192,2707,42289,2932,92074,7127,20378,178
16384,2953,42374,2931,150664,7087,19593,164
32768,2481,34338,2275,208232,5427,15791,142
65536,2688,39528,2667,493448,6129,19602,154
131072,3619,48779,3137,976577,7554,24040,179
262144,4535,61288,3835,1785457,10387,30499,244
524288,6209,83698,4506,3519267,15042,45326,343
1048576,8218,107972,4869,6860020,21844,63868,553
2097152,9075,112897,4700,13079739,22634,66359,736
