data size,marshalling,network,unmarshalling
0,8932,373027,2007644
100,9647,393863,2078381
200,9214,405633,2080431
300,9553,396248,2152776
400,9544,519156,2975536
500,9637,520802,3012370
600,8696,415559,2340579
700,9344,457956,2496225
800,9706,462106,2538687
900,9144,434365,2355087
1000,9275,452742,2486657
1100,9061,441769,2442942
1200,10024,484551,2656194
1300,10387,532104,2933817
1400,9295,463154,2687009
1500,10319,513025,2790427
1600,10356,502413,2741730
1700,11416,555637,3064545
1800,10848,516273,2999257
1900,11894,631992,3570454
2000,10543,564365,3320594
2100,10356,546326,3113477
2200,8241,382925,2162121
2300,8036,377961,2126921
2400,8965,427063,2286541
2500,8586,310117,1705164
2600,9589,460097,2650388
2700,9201,493031,2714148
2800,9640,458851,2433468
2900,9200,446264,2376453
3000,9199,440996,2468865
3100,9361,490666,2725289
3200,9374,484713,2624625
3300,8811,398138,2219554
3400,8616,405359,2277643
3500,9037,454543,2493235
3600,8786,430332,2283741
3700,8257,391018,2162419
3800,9796,459561,2591806
3900,8139,367965,2114229
