size,us latency
0,1957
1,1673
2,1409
3,1491
4,1551
5,1398
6,1510
7,1729
8,1682
9,1559
10,1593
11,1525
12,1739
13,1642
14,1501
15,1696
16,2082
17,2519
18,1568
19,1541
20,1363
21,1692
22,1539
23,1651
24,1564
25,1370
26,1535
27,1769
28,1810
29,1444
30,1720
31,1672
32,1763
33,1396
34,1446
35,1624
36,1277
37,1576
38,1972
39,1462
40,1816
41,1589
42,1692
43,1677
44,1509
45,2078
46,1456
47,1669
48,1669
49,1663
50,1501
51,1307
52,1729
53,1520
54,1416
55,1625
56,1409
57,1836
58,1463
59,1438
60,1600
61,1508
62,1606
63,1676
64,1861
65,1946
66,1759
67,1678
68,1518
69,1655
70,1740
71,1427
72,1423
73,1694
74,1457
75,1701
76,1672
77,1662
78,1608
79,1514
80,1628
81,1492
82,1948
83,1664
84,1581
85,1703
86,1487
87,1942
88,1963
89,2044
90,1422
91,1874
92,1465
93,1579
94,1662
95,1743
96,2162
97,1657
98,1527
99,1780
100,1392
101,1654
102,1655
103,1539
104,1679
105,2318
106,1709
107,2019
108,2072
109,1503
110,1684
111,1631
112,1591
113,2498
114,1824
115,1440
116,1552
117,1435
118,1510
119,1418
120,1897
121,2345
122,1813
123,1663
124,1711
125,1853
126,1574
127,1908
128,1572
129,1745
130,1754
131,1797
132,1650
133,1580
134,1803
135,1328
136,1491
137,1708
138,1414
139,1636
140,1555
141,1498
142,1696
143,1918
144,1989
145,1678
146,1663
147,1349
148,1560
149,1708
150,1577
151,1669
152,2013
153,2266
154,2017
155,1418
156,1426
157,1431
158,1444
159,1639
160,1793
161,1504
162,1748
163,1536
164,1509
165,1743
166,1517
167,2073
168,1640
169,1613
170,1448
171,1698
172,1697
173,1759
174,1693
175,1857
176,1963
177,2111
178,1541
179,1647
180,1621
181,1926
182,1860
183,1434
184,1756
185,1468
186,1446
187,1570
188,1497
189,1391
190,1631
191,1650
192,1632
193,1710
194,1571
195,1740
196,1428
197,1564
198,1636
199,1382
200,1726
201,1711
202,1571
203,1374
204,1474
205,1559
206,1812
207,1448
208,1923
209,1878
210,1730
211,1826
212,1506
213,1550
