size,us latency
0,1681
1,1396
2,1280
3,1582
4,1353
5,1245
6,1346
7,1204
8,1122
9,1070
10,1187
11,1466
12,1399
13,1353
14,1324
15,1391
16,1336
17,1446
18,1235
19,1351
20,1376
21,1482
22,1350
23,1115
24,1168
25,1331
26,1374
27,1406
28,1253
29,1443
30,1201
31,1324
32,1451
33,1245
34,1218
35,1244
36,1088
37,1277
38,1373
39,1374
40,1283
41,1498
42,1296
43,1206
44,1391
45,1729
46,1125
47,1093
48,1220
49,1242
50,1201
51,1116
52,1412
53,1234
54,1294
55,1476
56,1990
57,1077
58,1292
59,1691
60,1375
61,1210
62,1309
63,1317
64,1306
65,1576
66,1328
67,1146
68,1216
69,1302
70,1407
71,1737
72,1658
73,1610
74,1313
75,1139
76,1221
77,1322
78,1384
79,1212
80,1206
81,1198
82,1227
83,1456
84,1473
85,1195
86,1369
87,1432
88,1261
89,1670
90,1364
91,1293
92,1436
93,1272
94,1146
95,1600
96,1554
97,1318
98,1331
99,1681
100,1240
101,1327
102,1175
103,1376
104,1414
105,1280
106,1482
107,1271
108,1157
109,1478
110,1465
111,1158
112,1136
113,1148
114,1082
115,1245
116,1582
117,1321
118,1272
119,1338
120,1508
121,1714
122,1186
123,1337
124,1173
125,1183
126,1145
127,1227
128,1182
129,1169
130,1368
131,1680
132,1327
133,1406
134,1556
135,1279
136,1172
137,1789
138,1638
139,1389
140,1549
141,1697
142,1418
143,1286
144,1238
145,1332
146,1283
147,1235
148,1363
149,1352
150,1283
151,1099
152,1314
153,1367
154,1086
155,1202
156,1535
157,1287
158,1109
159,1158
160,1245
161,1283
162,1579
163,1316
164,1537
165,1762
166,1617
167,1593
168,1742
169,1329
170,1717
171,1449
172,1617
173,1908
174,1191
175,1800
176,2136
177,1461
178,1315
179,1909
180,1176
181,1254
182,1219
183,1252
184,1621
185,1564
186,1262
187,1219
188,1322
189,1316
190,1385
191,1449
192,1208
193,1671
194,1273
195,1333
196,1393
197,1456
198,1607
199,1672
200,1626
201,1284
202,1375
203,1491
204,1545
205,1517
206,1235
207,1149
208,1336
209,1129
210,1071
211,1230
212,1321
213,1132
214,1401
215,1412
216,1175
217,1139
218,1198
219,1198
220,1296
221,1421
222,1577
223,1269
224,1275
225,1163
226,1169
227,1312
228,2136
229,1294
230,1695
231,1613
232,1626
233,1400
234,1132
235,1191
236,1317
237,1617
238,1365
239,1567
240,1289
241,1291
242,1234
243,1397
244,1185
245,1127
246,1463
247,1304
248,1298
249,1178
250,1194
251,1242
252,1315
253,1209
254,1209
255,1478
256,1134
257,1356
258,1420
259,1300
260,1318
261,1893
262,1354
263,1439
264,1189
265,1277
266,1355
267,1313
268,1593
269,1461
270,1240
271,1552
272,1492
273,1575
274,1271
275,1598
276,1276
277,1030
278,1204
279,1226
280,1527
281,1323
282,1341
283,1231
284,1453
285,1756
286,1264
287,1306
288,1354
289,1238
290,1446
291,1285
292,1164
293,1161
294,1321
295,1412
296,1247
297,1370
298,1264
299,1681
300,1213
301,1116
302,1180
303,1302
304,1415
305,1507
306,1728
307,1512
308,1373
309,1268
310,1224
311,1413
312,1348
313,1180
314,1131
315,1519
316,1311
317,1297
318,1349
319,1460
320,1265
321,1169
322,1100
323,1298
324,1369
325,1462
326,1311
327,1287
328,1292
329,1532
330,1396
331,1709
332,1371
333,1400
334,1162
335,1293
336,1246
337,1395
338,1395
339,1136
340,1429
341,1608
342,1644
343,1670
344,1539
345,1359
346,1115
347,1204
348,1305
349,1547
350,1554
351,1560
352,1196
353,1114
354,1342
355,1063
356,1118
357,1242
358,1311
359,1224
360,1525
361,1481
362,1477
363,1296
364,1484
365,1424
366,1194
367,1263
368,1321
369,1165
370,1073
371,1131
372,1223
373,1962
374,1499
375,1258
376,1218
377,1483
378,1461
379,1423
380,1329
381,1916
382,1250
383,1296
384,1465
385,1165
386,1245
387,1268
388,1159
389,1424
390,1295
391,1364
392,1269
393,1255
394,1212
395,1210
396,1238
397,2305
398,1402
399,1226
400,1342
401,1121
402,1206
403,1085
404,1420
405,1336
406,1387
407,1622
408,1068
409,1490
410,1522
411,1527
412,1680
413,1556
414,1252
415,1205
416,1421
417,1432
418,1439
419,1233
420,1378
421,1407
422,1865
423,1304
424,1231
425,1248
426,1168
427,1244
428,1354
429,1546
430,1683
431,1402
432,1561
433,1441
434,1323
435,1506
436,1431
437,1169
438,1359
439,1452
440,1285
441,1637
442,1317
443,1279
444,1269
445,1606
446,1633
447,1147
448,1438
449,1539
450,1383
451,1194
452,1339
453,1209
454,1133
455,1445
456,1376
457,1581
458,1541
459,1631
460,1674
461,1432
462,1088
463,1228
464,1409
465,1370
466,1199
467,1207
468,1295
469,1531
470,1255
471,1314
472,1369
473,1437
474,1419
475,1361
476,1326
477,1219
478,1414
479,1405
480,1189
481,1222
482,1136
483,1206
484,1283
485,1325
486,1537
487,1614
488,1133
489,1227
490,1607
491,1357
492,1261
493,1205
494,1148
495,1114
496,1229
497,1198
498,1197
499,1495
500,1314
501,1113
502,1328
503,1155
504,1227
505,1138
506,1201
507,1360
508,1171
509,1229
510,1397
511,1342
512,1191
513,1225
514,1322
515,1196
516,1420
517,1480
518,1226
519,1410
520,1444
521,1335
522,1434
523,1292
524,1220
525,1060
526,1281
527,1267
528,1616
529,1573
530,1132
531,1181
532,1280
533,1965
534,1866
535,1307
536,1151
537,1336
538,1552
539,1691
540,1329
541,1279
542,1315
543,1459
544,1240
545,1416
546,1365
547,1415
548,1393
549,1272
550,1307
551,1208
552,1401
553,1675
554,1533
555,1737
556,1207
557,1383
558,1265
559,1127
560,1594
561,1442
562,1160
563,1301
564,1210
565,1063
566,1221
567,1541
568,1369
569,1294
570,1527
571,1880
572,1569
573,1416
574,1273
575,1562
576,1651
577,1680
578,1709
579,1408
580,1418
581,1941
582,1484
583,1318
584,1220
585,1507
586,1454
587,1262
588,1330
589,1148
590,1084
591,1145
592,1191
593,1332
594,1194
595,1390
596,1147
597,1238
598,1167
599,1238
600,1400
601,1368
602,1499
603,1253
604,1250
605,1266
606,1374
607,1543
608,1189
609,1513
610,1457
611,1561
612,1349
613,1218
614,1362
615,1395
616,1433
617,1182
618,1260
619,1143
620,1277
621,1559
622,1402
623,1507
624,1229
625,1134
626,1096
627,1225
628,1543
629,1603
630,1387
631,1548
