size,us latency
0,37
1,44
2,29
3,35
4,39
5,40
6,35
7,41
8,54
9,43
10,38
11,36
12,39
13,45
14,44
15,43
16,34
17,38
18,35
19,58
20,37
21,37
22,42
23,39
24,42
25,38
26,38
27,47
28,42
29,47
30,48
31,42
32,41
33,42
34,35
35,33
36,36
37,41
38,48
39,39
40,63
41,34
42,37
43,40
44,39
45,40
46,39
47,35
48,50
49,48
50,44
51,104
52,39
53,46
54,53
55,57
56,61
57,69
58,67
59,71
60,80
61,82
62,70
63,45
64,47
65,53
66,44
67,47
68,58
69,49
70,52
71,61
72,48
73,52
74,119
75,58
76,65
77,75
78,64
79,80
80,72
81,41
82,40
83,51
84,50
85,51
86,56
87,56
88,45
89,42
90,52
91,54
92,54
93,54
94,51
95,49
96,49
97,49
98,44
99,60
100,44
101,44
102,43
103,44
104,49
105,53
106,52
107,69
108,50
109,53
110,60
111,59
112,61
113,75
114,75
115,104
116,64
117,74
118,70
119,48
120,55
121,71
122,48
123,51
124,51
125,49
126,54
127,59
128,58
129,54
130,53
131,61
132,61
133,70
134,71
135,76
136,73
137,72
138,122
139,59
140,59
141,51
142,54
143,73
144,67
145,64
146,63
147,56
148,62
149,72
150,93
151,63
152,72
153,74
154,66
155,81
156,96
157,65
158,52
159,67
160,72
161,66
162,64
163,80
164,65
165,72
166,85
167,67
168,58
169,59
170,63
171,64
172,60
173,58
174,78
175,107
176,75
177,79
178,74
179,94
180,101
181,120
182,69
183,87
184,75
185,81
186,70
187,67
188,86
189,92
190,94
191,90
192,80
193,73
194,78
195,78
196,76
197,70
198,93
199,69
200,73
201,80
202,71
203,69
204,77
205,79
206,69
207,72
208,79
209,86
210,92
211,97
212,125
213,96
214,91
215,73
216,77
217,70
218,71
219,78
220,69
221,69
222,67
223,67
224,71
225,76
226,99
227,94
228,106
229,115
230,83
231,4414
232,4495
233,4430
234,4211
235,4455
236,4323
237,4485
238,4512
239,4484
240,4444
241,4533
242,4475
243,4303
244,4402
245,4749
246,4445
247,4429
248,4486
249,4642
250,4442
251,4414
252,4459
253,4412
254,4417
255,4712
256,4367
257,4385
258,4385
259,4630
260,4490
261,4343
262,4367
263,4406
264,4369
265,4399
266,4519
267,4828
268,4256
269,4441
270,4344
271,4431
272,4718
273,4397
274,4542
275,4460
276,4792
277,4216
278,4419
279,4843
280,4476
281,4737
282,4417
283,4410
284,4494
285,4742
286,5018
287,4804
288,4758
289,4825
290,4836
291,4500
292,4737
293,4758
294,4460
295,4531
296,4582
297,4473
298,4374
299,4451
300,4430
301,4717
302,4510
303,4769
304,4762
305,4761
306,4586
307,4324
308,4514
309,4414
310,4758
311,4427
312,4522
313,4518
314,4414
315,4528
316,4423
317,4765
318,4820
319,4789
320,4406
321,4463
322,4352
323,4423
324,4785
325,4785
326,4358
327,4396
328,4652
329,4448
330,4796
331,4611
332,4699
333,4646
334,4704
335,4815
336,4425
337,4474
338,4762
339,4433
340,4442
341,4219
342,4695
343,4759
344,4680
345,4818
346,4427
347,4484
348,4758
349,4777
350,4454
351,4758
352,4454
353,4752
354,4234
355,4726
356,4933
357,4357
358,4520
359,4703
360,4496
361,4781
362,4363
363,4776
364,4825
365,4539
366,4381
367,4623
368,4614
369,4801
370,4708
371,4774
372,4793
373,4600
374,4727
375,4636
376,4738
377,4706
378,4250
379,4513
380,4563
381,4754
382,4546
383,4786
384,4773
385,4403
386,4682
387,4520
388,4801
389,4826
390,4557
391,4670
392,4740
393,4448
394,4882
395,4623
396,4772
397,4486
398,4707
399,4780
400,4777
401,4760
402,4952
403,4512
404,4557
405,4598
406,4855
407,4544
408,4768
409,4722
410,4931
411,4834
412,4439
413,4685
414,4852
415,4610
416,4443
417,4579
418,4805
419,4791
420,4829
421,4780
422,4872
423,4800
424,4745
425,4746
426,4855
427,4500
428,4704
429,4618
430,4473
431,4631
432,4754
433,4774
434,4533
435,4784
436,4648
437,4790
438,4786
439,4733
440,4598
441,4899
442,4540
443,4655
444,4542
445,4758
446,4635
447,4796
448,4464
449,4769
450,4669
451,4595
452,4814
453,4540
454,4849
455,4612
456,4725
457,4681
458,4502
459,4727
460,4419
461,4600
462,4777
463,4548
464,4488
465,4545
466,4377
467,4747
468,4632
469,4514
470,4857
471,4564
472,4842
473,4863
474,4818
475,4761
476,8735
477,8777
478,8788
479,8842
480,9124
481,8795
482,9235
483,8804
484,8716
485,8793
486,8798
487,8811
488,9171
489,8750
490,9607
491,8883
492,8811
493,8814
494,8753
495,8764
496,8827
497,8868
498,9452
499,8751
500,8806
501,8816
502,8806
503,8901
504,8776
505,8828
506,8843
507,8807
508,8812
509,8880
510,8746
511,8802
512,8797
513,8745
514,9663
515,8780
516,8784
517,8777
518,8820
519,8779
520,8848
521,8820
522,8717
523,8866
524,8803
525,8819
526,8774
527,8823
528,8792
529,8778
530,8766
531,9671
532,8887
533,8794
534,8826
535,8792
536,9213
537,8776
538,8777
539,8735
540,8776
541,8781
542,8743
543,8837
544,8890
545,8777
546,9172
547,8793
548,8771
549,8754
550,8763
551,8792
552,9273
553,8744
554,8811
555,8840
556,8745
557,8826
558,8883
559,8741
