size,us latency
0,78
1,62
2,54
3,47
4,35
5,34
6,41
7,30
8,29
9,29
10,29
11,30
12,27
13,32
14,28
15,33
16,35
17,35
18,35
19,43
20,30
21,34
22,29
23,39
24,29
25,36
26,35
27,31
28,31
29,36
30,37
31,62
32,35
33,33
34,33
35,39
36,40
37,43
38,36
39,35
40,36
41,34
42,37
43,36
44,36
45,40
46,40
47,49
48,44
49,41
50,34
51,36
52,66
53,34
54,35
55,34
56,37
57,35
58,34
59,54
60,45
61,41
62,49
63,45
64,51
65,56
66,44
67,41
68,43
69,45
70,53
71,53
72,48
73,47
74,54
75,52
76,40
77,41
78,39
79,40
80,49
81,52
82,50
83,62
84,65
85,38
86,38
87,41
88,39
89,39
90,45
91,44
92,43
93,62
94,47
95,42
96,991
97,44
98,53
99,54
100,49
101,53
102,43
103,46
104,49
105,42
106,50
107,49
108,45
109,57
110,48
111,56
112,46
113,42
114,51
115,46
116,46
117,50
118,48
119,51
120,41
121,41
122,40
123,40
124,40
125,46
126,41
127,57
128,44
129,42
130,41
131,42
132,42
133,50
134,50
135,43
136,52
137,54
138,52
139,53
140,57
141,58
142,60
143,56
144,58
145,44
146,43
147,46
148,47
149,46
150,45
151,54
152,45
153,48
154,45
155,51
156,45
157,60
158,63
159,60
160,59
161,57
162,63
163,73
164,72
165,71
166,73
167,69
168,50
169,45
170,72
171,51
172,49
173,46
174,64
175,66
176,52
177,57
178,47
179,46
180,46
181,48
182,47
183,52
184,54
185,54
186,54
187,52
188,48
189,48
190,52
191,50
192,48
193,66
194,64
195,61
196,49
197,49
198,49
199,74
200,69
201,65
202,69
203,77
204,89
205,81
206,58
207,54
208,54
209,68
210,62
211,50
212,54
213,51
214,54
215,59
216,57
217,57
218,60
219,57
220,51
221,52
222,52
223,53
224,57
225,62
226,68
227,52
228,52
229,52
230,54
231,53
232,56
233,57
234,55
235,53
236,53
237,53
238,53
239,59
240,59
241,59
242,64
243,428
244,80
245,67
246,73
247,75
248,79
249,82
250,99
251,87
252,93
253,99
254,120
255,72
256,103
257,80
258,72
259,59
260,61
261,62
262,61
263,58
264,56
265,62
266,76
267,86
268,66
269,84
270,63
271,73
272,70
273,62
274,62
275,65
276,80
277,80
278,82
279,59
280,62
281,66
282,71
283,71
284,63
285,63
286,65
287,65
288,69
289,83
290,69
291,69
292,61
293,64
294,67
295,78
296,82
297,61
298,62
299,60
300,70
301,66
302,74
303,75
304,62
305,60
306,64
307,64
308,72
309,76
310,88
311,69
312,73
313,105
314,65
315,65
316,67
317,74
318,85
319,72
320,81
321,79
322,105
323,114
324,105
325,87
326,85
327,92
328,81
329,71
330,68
331,69
332,72
333,89
334,90
335,106
336,77
337,89
338,126
339,69
340,71
341,73
342,65
343,65
344,86
345,103
346,100
347,74
348,67
349,65
350,77
351,74
352,84
353,87
354,82
355,75
356,75
357,72
358,81
359,97
360,86
361,90
362,71
363,71
364,70
365,73
366,70
367,86
368,80
369,84
370,90
371,97
372,84
373,158
374,133
375,99
376,95
377,102
378,103
379,92
380,94
381,97
382,80
383,77
384,103
385,82
386,84
387,89
388,78
389,73
390,72
391,74
392,111
393,132
394,100
395,92
396,97
397,78
398,133
399,90
400,109
401,132
402,123
403,88
404,83
405,92
406,89
407,96
408,86
409,92
410,83
411,79
412,78
413,87
414,95
415,103
416,81
417,83
418,84
419,76
420,78
421,86
422,77
423,76
424,95
425,96
426,78
427,81
428,77
429,79
430,95
431,106
432,112
433,129
434,150
435,83
436,79
437,82
438,80
439,92
440,90
441,76
442,78
443,83
444,95
445,109
446,102
447,90
448,85
449,86
450,93
451,113
452,118
453,121
454,122
455,83
456,84
457,82
458,87
459,92
460,82
461,103
462,94
463,102
464,103
465,4554
466,4691
467,4538
468,4751
469,4479
470,4482
471,4932
472,4796
473,4353
474,4741
475,4807
476,8784
477,8817
478,8816
479,8853
480,8793
481,8781
482,8782
483,8706
484,8781
485,8800
486,8786
487,8712
488,8839
489,8800
490,8797
491,9268
492,8792
493,8829
494,8852
495,8803
496,8782
497,8812
498,8815
499,8839
500,8688
501,8819
502,8753
503,8787
504,8833
505,9207
506,8821
507,8832
508,8827
509,8826
510,9173
511,8800
512,9204
513,8797
514,8816
515,8777
516,8802
517,8680
518,8799
519,8800
520,8826
521,8774
522,8770
523,8837
524,8739
525,8861
526,8716
527,8798
528,8780
529,8782
530,8801
531,8834
532,8823
533,8858
534,8712
535,9179
536,8779
537,8784
538,8802
539,8697
540,8830
541,8781
542,8869
543,8676
544,8806
545,8778
546,8884
547,8784
548,8801
549,8783
550,8812
551,9080
552,8789
553,8837
554,8684
555,8772
556,8730
557,8879
558,8822
559,8846
560,8704
561,8840
562,8809
563,8784
564,8854
565,8781
