data size,client marshalling,c to s network,server unmarshalling,server comp,server marshalling,s to c network,client unmarshalling
1,3639,51445,4657,263,6839,39790,395
2,1255,18900,1756,103,2499,13448,112
4,1220,18509,1872,100,2602,12963,110
8,1170,17824,1690,106,2523,12981,108
16,1198,18449,1975,136,2575,13108,109
32,1177,18737,1831,145,2659,13813,112
64,1109,18476,1845,165,2663,13372,109
128,1248,18774,1875,214,2624,15625,123
256,1222,17657,1704,237,2705,14280,110
512,10448,117296,10788,1507,58787,43855325,954
1024,10166,123841,10487,2321,60876,43810479,892
2048,10917,134748,11570,4271,66605,43788674,998
4096,11210,131965,11178,7097,65201,43740230,966
8192,11840,137197,11286,13164,67042,43831476,963
16384,6869,118284,5671,17625,40296,900808,461
32768,3273,33806,2261,18031,19293,38201,192
65536,4783,52107,2516,33248,21353,60146,173
131072,19296,187938,7486,118164,80904,15079988,585
262144,16908,207193,4311,128466,55870,619426,273
524288,39746,455541,6584,286566,94631,464512,423
1048576,298032,1623524,9264,583368,190502,938346,518
2097152,418428,1494421,12797,1202613,429037,1502263,539
